GeneID,Pseudo_bulk_expression
Pyap00262,1.0470259892000002
Pyap00263,3.8322415344
Pyap00264,0.0837080824
Pyap00265,0.0881741246
Pyap00266,0.8010076062
Pyap00267,0.9064245698000001
Pyap00268,1.4754681933999998
Pyap00269,0.4864335526
Pyap00270,0.396637193
Pyap00271,0.026474632199999997
Pyap00272,0.06290165480000001
Pyap00273,0.38404678480000004
Pyap00274,0.0001536506
Pyap00275,0.0712591408
Pyap00276,0.0465347538
Pyap00277,0.3751851986
Pyap00278,0.435404177
Pyap00279,0.003856859
Pyap00280,0.0022485702
Pyap00281,0.215145848
Pyap00282,0.0158035222
Pyap00283,0.5792724142
Pyap00284,0.7185315095999999
Pyap00285,0.0028873166
Pyap00286,1.7900929118
Pyap00287,1.4538237798
Pyap00288,0.025183365200000002
Pyap00289,0.17143490039999998
Pyap00290,5.74926e-05
Pyap00291,0.0012198987999999997
Pyap00292,0.4519520712
Pyap00293,5.7109400000000006e-05
Pyap00294,1.193487824
Pyap00295,4.7439e-05
Pyap00296,5.20932e-05
Pyap00297,0.0024758482
Pyap00298,0.0007143264
Pyap00299,5.32226e-05
Pyap00300,0.006129600000000001
Pyap00301,0.0019450613999999998
Pyap00302,0.3525905494
Pyap00303,0.0078062361999999995
Pyap00304,0.0
Pyap00305,2.9914e-05
Pyap00306,0.0050874349999999995
Pyap00307,0.002405514
Pyap00308,0.6838091332
Pyap00309,0.0008876091999999999
Pyap00310,0.0006721144
Pyap00311,0.24089695119999996
Pyap00312,0.0588223562
Pyap00313,0.0
Pyap00314,0.0
Pyap00315,0.0260860578
Pyap00316,0.038563420599999995
Pyap00317,1.788e-05
Pyap00318,4.48778e-05
Pyap00319,0.7997757381999999
Pyap00320,0.2804109278
Pyap00321,7.11808e-05
Pyap00322,0.0063203878000000005
Pyap00323,0.0
Pyap00324,0.0017252667999999999
Pyap00325,0.0010171898
Pyap00326,0.0006830262000000001
Pyap00327,0.00038555539999999996
Pyap00328,0.3916036023999999
Pyap00329,0.0051429674
Pyap00330,0.0
Pyap00331,0.0
Pyap00332,0.0
Pyap00333,0.0
Pyap00334,1.504e-05
Pyap00335,0.0
Pyap00336,0.0
Pyap00337,0.00031830059999999997
Pyap00338,0.000591445
Pyap00339,0.00012336820000000002
Pyap00340,0.0
Pyap00341,0.0027161104
Pyap00342,0.0
Pyap00343,0.0
Pyap00344,0.45806459559999996
Pyap00345,0.0006718494
Pyap00346,0.0566810358
Pyap00347,0.0010138778
Pyap00348,0.06916198439999999
Pyap00349,0.0470301116
Pyap00350,0.0
Pyap00351,0.0952878418
Pyap00352,0.12525908759999999
Pyap00353,0.0
Pyap00354,0.10937431720000002
Pyap00355,0.0533114906
Pyap00356,0.1003169456
Pyap00357,1.174328883
Pyap00358,0.0
Pyap00359,1.0026689999999998
